Código	Foto Evento	Evento	QR-code Fotos	Link Fotos	Promoção	Local	Endereço	Cidade	Estado	Data de Início	Data de Término	Ano	Responsável	Tipo de Apresentação	Tipo de Exposição	Link  1 de Reportagem	Link 2 de Reportagem	Total	Comunidade	Ensino Básico Público	Ensino Básico Privado	Ensino Superior Público	Ensino Superior Privado	Total	Comunidade	Ensino Básico Público	Ensino Básico Privado	Ensino Superior Público	Ensino Superior Privado
E091		Feira de Matemática			UFMS - TL	Escola Estadual Fernando Corrêa	Rua João Carrato, 1560	Três Lagoas	Mato Grosso do Sul	29/10/12	30/10/12	2012	João Roberto Gerônimo	Exposição															
E092		FICIÊNCIAS 2012			MUDI - UEM	Usina Hidrelétrica Itaipu	Avenida Tancredo Neves, SN, Jardim Itaipu	Foz do Iguaçu	Paraná	06/11/12	10/11/12	2012	Júlio César Coelho	Exposição															
E093		Exposição de Matemática			Colégio Dom Bosco	Colégio Dom Bosco	Rua Assaí, 529, Chácara Assaí	Maringá	Paraná	29/11/12	29/11/12	2012	Renata Barros	Mostra de Objetos															
E094		IV Semana de Integração - CCE			CCE - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	29/01/13	29/01/13	2013	PET-Matemática-UEM	Mostra de Objetos															
E095		Treinamento de Monitores para o MUDI 2013			MUDI - UEM	Universidade Estadual de Maringá, Museu Dinâmico Interdisciplinar, Bloco O33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	23/02/13	09/03/13	2013	Júlio César Coelho	Minicurso															
E096		Mostra de Profissões			PEN - UEM	Universidade Estadual de Maringá, Estacionamento da Biblioteca Central, Bloco P03	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	10/04/13	11/04/13	2013	PET-Matemática-UEM	Mostra de Objetos															
E097		UEM NA REGIÃO			PEC - UEM	Anfiteatro Vânia Maria Simão	Rua Presidente Castelo Branco, SN	Atalaia	Paraná	23/05/13	24/05/13	2013	Júlio César Coelho e Maciel de Araújo Carlos	Exposição															
E098		Colégio Adventista de Maringá			MUDI - UEM	Colégio Adventista de Maringá	Rua Luiz Gama, 818, Zona 04	Maringá	Paraná	03/07/13	03/07/13	2013	Júlio César Coelho	Exposição															
E099		III Encontro Hotel de Hilbert - OBMEP			IMPA	Hotel Bucsky	Rua Ponte da Saudade	Nova Friburgo	Rio de Janeiro	01/08/13	05/08/13	2013	João Roberto Gerônimo	Exposição															
E100		Sebastião - Caderno de Extensão			PEC - UEM	Universidade Estadual de Maringá, Pró-Reitoria de Extensão e Cultura, Diretoria de Extensão, Bloco A-34	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	01/08/13	01/08/13	2013	João Roberto Gerônimo	Publicação															
E101		XXIV Semana da Matemática			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	06/08/13	08/08/13	2013	Cláudia Juliana Fanelli Gonçalves  e Maciel de Araújo Carlos	Minicurso															
E102		XI Fórum de Extensão da UEM			PEC - UEM	Universidade Estadual de Maringá, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	07/08/13	09/08/13	2013	André Bisca Ferreira, Deivid Flávio, Iara Fragal, Jair Guilherme Certório, Leonardo dos Santos Lara, Lucas Lara e Mariane Merim	Pôster															
E103		XI Fórum de Extensão da UEM			PEC - UEM	Universidade Estadual de Maringá, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	07/08/13	09/08/13	2013	Evandro Mathias Friedrichsen	Pôster															
E104		XI Fórum de Extensão da UEM			PEC - UEM	Universidade Estadual de Maringá, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	07/08/13	09/08/13	2013	Lucas Belluci Medalha, Cleber Peres Rodrigues e Arthur Duarte Feitosa	Pôster															
